gpu_mem_total_mib,gpu_mem_used_mib,gpu_mem_util_pct,gpu_power_w,gpu_util_pct,t
,,0.0,27.78,93.0,1785368204.4902718
,,0.0,32.92,93.0,1785368205.5372384
,,0.0,27.34,0.0,1785368206.585419
,,0.0,32.82,93.0,1785368207.6355746
,,0.0,32.83,93.0,1785368208.6840615
,,0.0,23.07,16.0,1785368209.7328527
,,0.0,36.78,93.0,1785368210.7714424
,,0.0,32.88,93.0,1785368211.8208745
,,0.0,28.03,93.0,1785368212.8687809
,,0.0,32.74,96.0,1785368213.8937223
,,0.0,32.9,93.0,1785368214.9425871
,,0.0,28.79,93.0,1785368215.9937072
,,0.0,32.3,21.0,1785368217.0182872
,,0.0,32.94,93.0,1785368218.0662541
,,0.0,27.14,93.0,1785368219.1169775
,,0.0,34.41,0.0,1785368220.1415522
,,0.0,32.96,93.0,1785368221.1945329
,,0.0,28.26,93.0,1785368222.2427723
,,0.0,32.8,0.0,1785368223.2691758
,,0.0,33.0,93.0,1785368224.3206718
,,0.0,27.17,93.0,1785368225.3689058
,,0.0,32.87,93.0,1785368226.4170008
,,0.0,32.94,93.0,1785368227.4673839
,,0.0,27.31,32.0,1785368228.518103
,,0.0,32.93,93.0,1785368229.5700626
,,0.0,32.96,93.0,1785368230.617649
,,0.0,24.95,0.0,1785368231.6699135
,,0.0,34.12,93.0,1785368232.7241633
,,0.0,32.99,93.0,1785368233.7761724
,,0.0,23.84,80.0,1785368234.8257892
,,0.0,35.26,93.0,1785368235.8880033
,,0.0,32.95,93.0,1785368236.9355958
,,0.0,28.63,93.0,1785368237.985519
,,0.0,32.37,29.0,1785368239.0131762
,,0.0,27.32,9.0,1785368240.0599978
,,0.0,32.9,93.0,1785368241.107505
,,0.0,32.98,93.0,1785368242.156966
,,0.0,26.9,93.0,1785368243.204803
,,0.0,33.05,94.0,1785368244.2495856
,,0.0,33.0,94.0,1785368245.293455
,,0.0,25.87,93.0,1785368246.337748
,,0.0,34.9,0.0,1785368247.3629067
,,0.0,32.9,93.0,1785368248.404832
,,0.0,30.99,93.0,1785368249.4493785
,,0.0,30.15,93.0,1785368250.4747076
,,0.0,38.55,84.0,1785368251.5240333
,,0.0,33.04,93.0,1785368252.5750332
,,0.0,32.99,93.0,1785368253.622348
,,0.0,27.23,35.0,1785368254.6711342
,,0.0,32.95,93.0,1785368255.7162342
,,0.0,38.62,93.0,1785368256.761662
,,0.0,33.0,93.0,1785368257.8085105
,,0.0,38.75,93.0,1785368258.8641188
,,0.0,27.33,0.0,1785368259.914837
,,0.0,33.03,93.0,1785368260.9657946
,,0.0,37.48,93.0,1785368262.017132
,,0.0,26.35,93.0,1785368263.0598037
,,0.0,34.13,93.0,1785368264.1037195
,,0.0,33.16,93.0,1785368265.1513438
,,0.0,38.74,93.0,1785368266.1980803
